tahun,jenis_prep,daerah_prep,garis-kemiskinan-perkapita,pengeluaran-perkapita,upah-minimum-provinsi,upah-pekerja-perjam,gaji,target
2015,0,1,293697.0,466355.0,1900000.0,11226,1796160,2
2015,0,1,302128.0,466355.0,1900000.0,11226,1796160,2
2016,0,1,306243.0,548853.0,2118500.0,13627,2180320,3
2016,0,1,319768.0,548853.0,2118500.0,13627,2180320,3
2015,0,0,297479.0,395136.0,1900000.0,11226,1796160,2
2015,0,0,306737.0,395136.0,1900000.0,11226,1796160,2
2016,0,0,315697.0,412251.0,2118500.0,13627,2180320,3
2016,0,0,324854.0,412251.0,2118500.0,13627,2180320,3
2015,0,2,296406.0,415354.0,1900000.0,11226,1796160,2
2015,0,2,305428.0,415354.0,1900000.0,11226,1796160,2
2016,0,2,312801.0,451952.0,2118500.0,13627,2180320,3
2016,0,2,323548.0,451952.0,2118500.0,13627,2180320,3
2017,0,1,330153.0,610732.0,2500000.0,14809,2369440,2
2017,0,1,347811.0,610732.0,2500000.0,14809,2369440,2
2018,0,1,351777.0,637432.0,2700000.0,13814,2210240,2
2018,0,1,360318.0,637432.0,2700000.0,13814,2210240,2
2017,0,0,331267.0,494150.0,2500000.0,14809,2369440,2
2017,0,0,346070.0,494150.0,2500000.0,14809,2369440,2
2018,0,0,353915.0,506656.0,2700000.0,13814,2210240,2
2018,0,0,362463.0,506656.0,2700000.0,13814,2210240,2
2017,0,2,330958.0,529161.0,2500000.0,14809,2369440,2
2017,0,2,346552.0,529161.0,2500000.0,14809,2369440,2
2018,0,2,353291.0,547668.0,2700000.0,13814,2210240,2
2018,0,2,361835.0,547668.0,2700000.0,13814,2210240,2
2019,0,1,364040.0,639421.0,2916810.0,15065,2410400,2
2019,0,1,377620.0,639421.0,2916810.0,15065,2410400,2
2020,0,1,398026.0,655222.0,3165031.0,18099,2895840,2
2020,0,1,399504.0,655222.0,3165031.0,18099,2895840,2
2019,0,0,372626.0,520759.0,2916810.0,15065,2410400,2
2019,0,0,387367.0,520759.0,2916810.0,15065,2410400,2
2020,0,0,396615.0,566947.0,3165031.0,18099,2895840,2
2020,0,0,397816.0,566947.0,3165031.0,18099,2895840,2
2019,0,2,370093.0,559299.0,2916810.0,15065,2410400,2
2019,0,2,384381.0,559299.0,2916810.0,15065,2410400,2
2020,0,2,397032.0,595634.0,3165031.0,18099,2895840,2
2020,0,2,398316.0,595634.0,3165031.0,18099,2895840,2
2021,0,1,418047.0,734401.0,3165031.0,17037,2725920,2
2021,0,1,426126.0,734401.0,3165031.0,17037,2725920,2
2022,0,1,448528.0,736172.0,3166460.0,16772,2683520,2
2022,0,1,481276.0,736172.0,3166460.0,16772,2683520,2
2021,0,0,406917.0,597940.0,3165031.0,17037,2725920,2
2021,0,0,414738.0,597940.0,3165031.0,17037,2725920,2
2022,0,0,434104.0,633566.0,3166460.0,16772,2683520,2
2022,0,0,462138.0,633566.0,3166460.0,16772,2683520,2
2021,0,2,410420.0,643591.0,3165031.0,17037,2725920,2
2021,0,2,418296.0,643591.0,3165031.0,17037,2725920,2
2022,0,2,438658.0,668480.0,3166460.0,16772,2683520,2
2022,0,2,468255.0,668480.0,3166460.0,16772,2683520,2
2015,1,1,116717.0,529945.0,1900000.0,11226,1796160,2
2015,1,1,118196.0,529945.0,1900000.0,11226,1796160,2
2016,1,1,121727.0,559492.0,2118500.0,13627,2180320,3
2016,1,1,125719.0,559492.0,2118500.0,13627,2180320,3
2015,1,0,84638.0,260183.0,1900000.0,11226,1796160,2
2015,1,0,87682.0,260183.0,1900000.0,11226,1796160,2
2016,1,0,88288.0,272829.0,2118500.0,13627,2180320,3
2016,1,0,90972.0,272829.0,2118500.0,13627,2180320,3
2015,1,2,93744.0,336764.0,1900000.0,11226,1796160,2
2015,1,2,96344.0,336764.0,1900000.0,11226,1796160,2
2016,1,2,98155.0,356142.0,2118500.0,13627,2180320,3
2016,1,2,101217.0,356142.0,2118500.0,13627,2180320,3
2017,1,1,127858.0,576134.0,2500000.0,14809,2369440,2
2017,1,1,132061.0,576134.0,2500000.0,14809,2369440,2
2018,1,1,134561.0,633864.0,2700000.0,13814,2210240,2
2018,1,1,136434.0,633864.0,2700000.0,13814,2210240,2
2017,1,0,94463.0,287004.0,2500000.0,14809,2369440,2
2017,1,0,96799.0,287004.0,2500000.0,14809,2369440,2
2018,1,0,100825.0,331248.0,2700000.0,13814,2210240,2
2018,1,0,104778.0,331248.0,2700000.0,13814,2210240,2
2017,1,2,104496.0,373833.0,2500000.0,14809,2369440,2
2017,1,2,107572.0,373833.0,2500000.0,14809,2369440,2
2018,1,2,111335.0,426149.0,2700000.0,13814,2210240,2
2018,1,2,114830.0,426149.0,2700000.0,13814,2210240,2
2019,1,1,137577.0,640399.0,2916810.0,15065,2410400,2
2019,1,1,140281.0,640399.0,2916810.0,15065,2410400,2
2020,1,1,143425.0,704431.0,3165031.0,18099,2895840,2
